@relation ephenology_all-5-fold-2-16G.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {C.brasiliensis,P.ramiflora,P.torta,M.rubiginosa,M.guianensis,A.tomentosum}

@data

0.32,0.325733,0.317365,0.335,0.317647,0.326772,0.331933,0.32618,0.323741,0.325792,0.324561,0.328358,0.327206,0.332203,0.329154,0.321429,0.317647,0.324324,0.318612,0.314685,0.330049,0.315385,0.319489,0.3207,0.315271,0.326347,0.33125,0.327922,0.313008,0.315271,0.333333,0.311864,0.325758,0.341615,0.315972,5546,P.torta
0.340058,0.355164,0.353571,0.333333,0.341727,0.334572,0.34657,0.327922,0.341853,0.334286,0.336207,0.344828,0.340599,0.33871,0.334917,0.343137,0.331002,0.336709,0.335821,0.333333,0.334426,0.326203,0.328205,0.331868,0.331412,0.328982,0.330579,0.325459,0.326027,0.328221,0.32526,0.325069,0.332494,0.3241,0.325513,5354,C.brasiliensis
0.34763,0.349282,0.354839,0.347368,0.345455,0.357401,0.355482,0.34589,0.352313,0.341737,0.346154,0.33815,0.342424,0.341598,0.345196,0.345345,0.349693,0.35,0.359322,0.358306,0.352941,0.344322,0.352761,0.343023,0.348837,0.351254,0.348592,0.345638,0.344697,0.345992,0.348018,0.33657,0.342466,0.342756,0.339506,2999,P.ramiflora
0.354779,0.350562,0.360987,0.346983,0.352814,0.356347,0.352403,0.356164,0.351111,0.353201,0.356234,0.35641,0.353383,0.351807,0.353075,0.346154,0.352083,0.354,0.348748,0.34879,0.347826,0.344227,0.344,0.346578,0.347727,0.349237,0.346442,0.346154,0.349146,0.348387,0.346774,0.351421,0.34375,0.346743,0.345494,3161,P.ramiflora
0.326848,0.321767,0.323699,0.326087,0.319372,0.326087,0.331606,0.321782,0.331658,0.325991,0.327586,0.32,0.329268,0.322727,0.330049,0.333333,0.327731,0.322275,0.330317,0.331731,0.327014,0.321839,0.327586,0.332016,0.330544,0.322727,0.324675,0.325203,0.331858,0.325688,0.324074,0.3213,0.326165,0.327869,0.315789,6371,P.torta
0.334118,0.329621,0.338369,0.336207,0.338192,0.342183,0.342857,0.345304,0.347709,0.352357,0.352645,0.34873,0.353741,0.361607,0.356984,0.359026,0.36,0.36689,0.36044,0.363431,0.366391,0.360313,0.364706,0.366995,0.36236,0.352041,0.356295,0.364286,0.358862,0.362745,0.356467,0.3525,0.35958,0.362468,0.349666,2934,P.torta
0.332016,0.335385,0.335443,0.339394,0.333333,0.335366,0.353846,0.344444,0.333333,0.336449,0.329114,0.326347,0.333333,0.331839,0.337079,0.326316,0.32491,0.317536,0.319444,0.307018,0.334884,0.322368,0.320896,0.327044,0.323194,0.313514,0.314655,0.323887,0.32243,0.314433,0.322581,0.321555,0.323432,0.323077,0.318898,5663,C.brasiliensis
0.355705,0.365432,0.356322,0.358586,0.353261,0.36,0.347458,0.359447,0.355769,0.347656,0.353791,0.354571,0.355872,0.355102,0.358974,0.363077,0.355372,0.353933,0.33908,0.35503,0.361111,0.349711,0.353448,0.352436,0.357401,0.35,0.356098,0.351111,0.353234,0.356436,0.35567,0.346479,0.350975,0.345622,0.351124,4370,M.rubiginosa
0.352113,0.346774,0.355556,0.344311,0.345794,0.345566,0.355346,0.343374,0.355987,0.348485,0.355049,0.339339,0.349206,0.351097,0.354633,0.348315,0.348315,0.343374,0.346041,0.351438,0.352941,0.343434,0.351682,0.341954,0.347985,0.342105,0.347962,0.347561,0.349693,0.346021,0.344828,0.330128,0.339564,0.347305,0.331536,2998,P.ramiflora
0.359918,0.365145,0.363171,0.351206,0.36413,0.362924,0.362637,0.361702,0.361809,0.361798,0.360544,0.365079,0.357868,0.356989,0.342466,0.358407,0.356044,0.3475,0.347709,0.353808,0.355191,0.35012,0.355505,0.357401,0.352459,0.356098,0.354369,0.353468,0.355721,0.353919,0.358904,0.357853,0.355086,0.355319,0.347328,4241,M.rubiginosa
0.320675,0.32294,0.317365,0.320359,0.313218,0.316418,0.320917,0.318584,0.322857,0.32687,0.320856,0.31954,0.329114,0.337989,0.323684,0.323974,0.3275,0.32973,0.323834,0.329577,0.330357,0.321678,0.342169,0.334963,0.330882,0.331606,0.335025,0.346835,0.3425,0.334254,0.329073,0.331924,0.331887,0.337563,0.330097,3238,P.torta
0.34471,0.356902,0.343434,0.34981,0.334495,0.338078,0.34413,0.346429,0.340067,0.33758,0.344482,0.340067,0.356923,0.332192,0.339286,0.344037,0.334677,0.328205,0.313305,0.371901,0.347222,0.339713,0.346369,0.345833,0.340824,0.307692,0.320312,0.350877,0.330275,0.325843,0.359712,0.313008,0.324201,0.321101,0.311688,7335,M.rubiginosa
0.336158,0.338936,0.351759,0.352505,0.341667,0.332278,0.325342,0.337255,0.357143,0.333333,0.348974,0.339759,0.352941,0.34629,0.343529,0.346883,0.334426,0.332,0.32766,0.336585,0.3367,0.334171,0.345382,0.34375,0.353125,0.334459,0.335689,0.351648,0.329457,0.339552,0.342205,0.335749,0.341067,0.338912,0.332447,5251,C.brasiliensis
0.329545,0.335979,0.334586,0.341818,0.334437,0.337662,0.322148,0.341912,0.346457,0.334375,0.333333,0.329114,0.331104,0.333333,0.331683,0.320548,0.322404,0.329749,0.330986,0.342105,0.339416,0.341598,0.33574,0.325905,0.3367,0.330409,0.336634,0.33657,0.338462,0.340176,0.341379,0.33195,0.335835,0.339378,0.344978,4644,M.guianensis
0.32967,0.337596,0.332215,0.335526,0.331148,0.3367,0.33677,0.332203,0.336842,0.342466,0.344262,0.336232,0.340694,0.349673,0.345638,0.346041,0.345345,0.345515,0.349057,0.345277,0.353571,0.34891,0.361194,0.354651,0.35274,0.348485,0.348243,0.347962,0.345515,0.347518,0.349398,0.352151,0.350975,0.348101,0.348837,4950,P.torta
