@relation ephenology_all-5-fold-4-06B.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.333333,0.361538,0.351852,0.317073,0.319475,0.332402,0.305623,0.302439,0.318436,0.2891,0.317221,0.373702,0.403448,0.336502,0.355372,0.339806,0.342593,0.357383,0.366086,0.353823,0.342105,0.348928,0.362683,0.330698,0.368167,0.374422,0.35175,0.357692,0.363636,0.366667,0.365031,0.34542,0.335968,0.341357,0.341857,0.347741,0.329114,2513,P.torta
0.387755,0.380531,0.357798,0.324042,0.335664,0.341085,0.314189,0.308197,0.303502,0.305755,0.31405,0.36965,0.370536,0.33237,0.330097,0.327225,0.330952,0.330864,0.335013,0.33713,0.338272,0.338384,0.348485,0.365801,0.337469,0.347188,0.343284,0.343008,0.331536,0.359249,0.338462,0.336735,0.343137,0.338798,0.345771,0.349081,0.335859,1417,C.brasiliensis
0.333333,0.347059,0.336683,0.321503,0.320487,0.327586,0.300654,0.297917,0.299517,0.280702,0.304462,0.334204,0.350453,0.309484,0.309006,0.3126,0.313972,0.309329,0.303483,0.308756,0.308874,0.315254,0.326047,0.330798,0.311304,0.318612,0.308874,0.300373,0.300935,0.317269,0.295327,0.300781,0.302103,0.314978,0.320261,0.310019,0.300347,1792,M.rubiginosa
0.325153,0.341176,0.330882,0.297398,0.314488,0.3125,0.269896,0.272727,0.268382,0.266055,0.279528,0.311594,0.317992,0.276923,0.268908,0.277045,0.272506,0.268623,0.271357,0.266033,0.283582,0.282383,0.285714,0.265957,0.270471,0.274298,0.290323,0.276808,0.276119,0.285036,0.269036,0.290249,0.28884,0.286047,0.260989,0.2954,0.278912,4463,C.brasiliensis
0.333333,0.333333,0.34,0.331288,0.367816,0.365517,0.325444,0.309524,0.318471,0.320225,0.313726,0.35119,0.337931,0.352657,0.341463,0.356557,0.368,0.360784,0.368,0.36803,0.37247,0.37551,0.37247,0.368771,0.366038,0.391608,0.379032,0.366667,0.369748,0.377593,0.368,0.375494,0.367188,0.360515,0.3625,0.396624,0.378151,6291,P.torta
0.350467,0.330882,0.34555,0.33557,0.314286,0.323944,0.300948,0.298368,0.302521,0.29484,0.297619,0.345395,0.330855,0.316271,0.315596,0.321492,0.324459,0.315436,0.321608,0.316514,0.322006,0.319797,0.331429,0.350087,0.32737,0.33612,0.32699,0.325188,0.323643,0.334677,0.326568,0.326255,0.327553,0.331019,0.351297,0.34358,0.320138,1160,C.brasiliensis
0.325967,0.336283,0.333333,0.336134,0.322581,0.306977,0.298805,0.306202,0.292373,0.296443,0.298319,0.317507,0.304,0.318021,0.302703,0.301939,0.292876,0.3026,0.306011,0.291892,0.297994,0.311475,0.30273,0.298288,0.304,0.32199,0.315789,0.300912,0.300912,0.309942,0.307937,0.31003,0.311047,0.296837,0.286738,0.313208,0.315789,4540,C.brasiliensis
0.333333,0.357895,0.326087,0.32967,0.333333,0.318966,0.297297,0.303797,0.26875,0.293413,0.297753,0.327068,0.326829,0.319328,0.302932,0.308475,0.321799,0.308219,0.306818,0.311189,0.309804,0.310757,0.3125,0.288809,0.31,0.314286,0.321168,0.316327,0.316151,0.320132,0.315412,0.316901,0.310231,0.306818,0.276498,0.329457,0.321429,5339,C.brasiliensis
0.360294,0.345865,0.328859,0.331915,0.297794,0.283898,0.278912,0.284211,0.277372,0.280645,0.293333,0.330303,0.332075,0.296588,0.272517,0.287611,0.280182,0.263033,0.264782,0.268868,0.282051,0.277778,0.286353,0.271845,0.268409,0.275488,0.288783,0.276382,0.265823,0.28436,0.268542,0.281106,0.287912,0.282561,0.264151,0.29703,0.281174,3841,M.rubiginosa
